timestamp,equity
2025-02-28 00:00:00+00:00,1.0
2025-03-03 00:00:00+00:00,1.0
2025-03-04 00:00:00+00:00,1.0
2025-03-05 00:00:00+00:00,1.0
2025-03-06 00:00:00+00:00,1.0
2025-03-07 00:00:00+00:00,1.0
2025-03-10 00:00:00+00:00,1.0
2025-03-11 00:00:00+00:00,1.0
2025-03-12 00:00:00+00:00,1.0
2025-03-13 00:00:00+00:00,1.0
2025-03-14 00:00:00+00:00,1.0
2025-03-17 00:00:00+00:00,1.0
2025-03-18 00:00:00+00:00,1.0
2025-03-19 00:00:00+00:00,1.0
2025-03-20 00:00:00+00:00,1.0
2025-03-21 00:00:00+00:00,1.0
2025-03-24 00:00:00+00:00,1.0
2025-03-25 00:00:00+00:00,1.0
2025-03-26 00:00:00+00:00,1.0
2025-03-27 00:00:00+00:00,1.0
2025-03-28 00:00:00+00:00,1.0
2025-03-31 00:00:00+00:00,1.0
2025-04-01 00:00:00+00:00,1.0
2025-04-02 00:00:00+00:00,1.0
2025-04-03 00:00:00+00:00,1.0
2025-04-04 00:00:00+00:00,1.0
2025-04-07 00:00:00+00:00,1.0
2025-04-08 00:00:00+00:00,1.0
2025-04-09 00:00:00+00:00,1.0
2025-04-10 00:00:00+00:00,1.0
2025-04-11 00:00:00+00:00,1.0
2025-04-14 00:00:00+00:00,1.0
2025-04-15 00:00:00+00:00,1.0
2025-04-16 00:00:00+00:00,1.0
2025-04-17 00:00:00+00:00,1.0
2025-04-21 00:00:00+00:00,1.0
2025-04-22 00:00:00+00:00,1.0
2025-04-23 00:00:00+00:00,1.0
2025-04-24 00:00:00+00:00,1.0
2025-04-25 00:00:00+00:00,1.0
2025-04-28 00:00:00+00:00,1.0
2025-04-29 00:00:00+00:00,1.0
2025-04-30 00:00:00+00:00,1.0
2025-05-01 00:00:00+00:00,1.0
2025-05-02 00:00:00+00:00,1.0
2025-05-05 00:00:00+00:00,1.0
2025-05-06 00:00:00+00:00,1.0
2025-05-07 00:00:00+00:00,1.0
2025-05-08 00:00:00+00:00,1.0
2025-05-09 00:00:00+00:00,1.0
2025-05-12 00:00:00+00:00,0.9730963157135467
2025-05-13 00:00:00+00:00,0.9980286368332658
2025-05-14 00:00:00+00:00,1.0090307377659833
2025-05-15 00:00:00+00:00,1.0326918595767431
2025-05-16 00:00:00+00:00,1.0445706773642347
2025-05-19 00:00:00+00:00,1.0446671242443524
2025-05-20 00:00:00+00:00,1.0450002739738025
2025-05-21 00:00:00+00:00,1.047288312338539
2025-05-22 00:00:00+00:00,1.0414497312338207
2025-05-23 00:00:00+00:00,1.039187978322542
2025-05-27 00:00:00+00:00,1.0621389915853054
2025-05-28 00:00:00+00:00,1.0594915180376612
2025-05-29 00:00:00+00:00,1.038723334441697
2025-05-30 00:00:00+00:00,1.0583342892444585
2025-06-02 00:00:00+00:00,1.0686351103311043
2025-06-03 00:00:00+00:00,1.0677233462050528
2025-06-04 00:00:00+00:00,1.0867645153131376
2025-06-05 00:00:00+00:00,1.0962850664251274
2025-06-06 00:00:00+00:00,1.0883512738318026
2025-06-09 00:00:00+00:00,1.0734391949761954
2025-06-10 00:00:00+00:00,1.0551695340249474
2025-06-11 00:00:00+00:00,1.0694240752394741
2025-06-12 00:00:00+00:00,1.0651722526534209
2025-06-13 00:00:00+00:00,1.0626474445552467
2025-06-16 00:00:00+00:00,1.0742194649508516
2025-06-17 00:00:00+00:00,1.070116660151832
2025-06-18 00:00:00+00:00,1.071536810363719
2025-06-20 00:00:00+00:00,1.0795320025658843
2025-06-23 00:00:00+00:00,1.0989325399727716
2025-06-24 00:00:00+00:00,1.1213488816962414
2025-06-25 00:00:00+00:00,1.1179649472630373
2025-06-26 00:00:00+00:00,1.145509761543229
2025-06-27 00:00:00+00:00,1.1599307772963223
2025-06-30 00:00:00+00:00,1.1739661392971554
2025-07-01 00:00:00+00:00,1.1340517116633804
2025-07-02 00:00:00+00:00,1.1263896023065594
2025-07-03 00:00:00+00:00,1.137190181429433
2025-07-07 00:00:00+00:00,1.1305626354163445
2025-07-08 00:00:00+00:00,1.118017518169953
2025-07-09 00:00:00+00:00,1.129387882987503
2025-07-10 00:00:00+00:00,1.0963463991498623
2025-07-11 00:00:00+00:00,1.091542314504771
2025-07-14 00:00:00+00:00,1.106305308689239
2025-07-15 00:00:00+00:00,1.1048325206863305
2025-07-16 00:00:00+00:00,1.0961009344827108
2025-07-17 00:00:00+00:00,1.1170181358657085
2025-07-18 00:00:00+00:00,1.0600964178877197
2025-07-21 00:00:00+00:00,1.081162637057751
