timestamp,equity
2025-02-28 00:00:00+00:00,1.0
2025-02-28 00:00:00+00:00,1.0
2025-03-03 00:00:00+00:00,1.0
2025-03-03 00:00:00+00:00,1.0
2025-03-04 00:00:00+00:00,1.0
2025-03-04 00:00:00+00:00,1.0
2025-03-05 00:00:00+00:00,1.0
2025-03-05 00:00:00+00:00,1.0
2025-03-06 00:00:00+00:00,1.0
2025-03-06 00:00:00+00:00,1.0
2025-03-07 00:00:00+00:00,1.0
2025-03-07 00:00:00+00:00,1.0
2025-03-10 00:00:00+00:00,1.0
2025-03-10 00:00:00+00:00,1.0
2025-03-11 00:00:00+00:00,1.0
2025-03-11 00:00:00+00:00,1.0
2025-03-12 00:00:00+00:00,1.0
2025-03-12 00:00:00+00:00,1.0
2025-03-13 00:00:00+00:00,1.0
2025-03-13 00:00:00+00:00,1.0
2025-03-14 00:00:00+00:00,1.0
2025-03-14 00:00:00+00:00,1.0
2025-03-17 00:00:00+00:00,1.0
2025-03-17 00:00:00+00:00,1.0
2025-03-18 00:00:00+00:00,1.0
2025-03-18 00:00:00+00:00,0.9996
2025-03-19 00:00:00+00:00,1.0137007046170141
2025-03-19 00:00:00+00:00,1.0137007046170141
2025-03-20 00:00:00+00:00,1.0106420990939688
2025-03-20 00:00:00+00:00,1.0106420990939688
2025-03-21 00:00:00+00:00,1.017174127482501
2025-03-21 00:00:00+00:00,1.017174127482501
2025-03-24 00:00:00+00:00,1.0537220350137046
2025-03-24 00:00:00+00:00,1.0537220350137046
2025-03-25 00:00:00+00:00,1.0664231661677477
2025-03-25 00:00:00+00:00,1.0664231661677477
2025-03-26 00:00:00+00:00,1.0426799359197358
2025-03-26 00:00:00+00:00,1.0426799359197358
2025-03-27 00:00:00+00:00,1.0438722589179479
2025-03-27 00:00:00+00:00,1.0438722589179479
2025-03-28 00:00:00+00:00,0.999081557425179
2025-03-28 00:00:00+00:00,0.999081557425179
2025-03-31 00:00:00+00:00,0.9863286136549462
2025-03-31 00:00:00+00:00,0.9863286136549462
2025-04-01 00:00:00+00:00,0.9962302814701238
2025-04-01 00:00:00+00:00,0.9962302814701238
2025-04-02 00:00:00+00:00,1.0161372423328587
2025-04-02 00:00:00+00:00,1.0161372423328587
2025-04-03 00:00:00+00:00,0.9248969654937086
2025-04-03 00:00:00+00:00,0.9248969654937086
2025-04-04 00:00:00+00:00,0.8864826963344408
2025-04-04 00:00:00+00:00,0.8861281032559071
2025-04-07 00:00:00+00:00,0.8640526596756549
2025-04-07 00:00:00+00:00,0.8640526596756549
2025-04-08 00:00:00+00:00,0.886731162747927
2025-04-08 00:00:00+00:00,0.886731162747927
2025-04-09 00:00:00+00:00,0.7805270918320257
2025-04-09 00:00:00+00:00,0.7805270918320257
2025-04-10 00:00:00+00:00,0.8208808921050127
2025-04-10 00:00:00+00:00,0.8208808921050127
2025-04-11 00:00:00+00:00,0.804347340478584
2025-04-11 00:00:00+00:00,0.804347340478584
2025-04-14 00:00:00+00:00,0.8163122630984714
2025-04-14 00:00:00+00:00,0.8163122630984714
2025-04-15 00:00:00+00:00,0.82765241840561
2025-04-15 00:00:00+00:00,0.82765241840561
2025-04-16 00:00:00+00:00,0.8518934522223944
2025-04-16 00:00:00+00:00,0.8518934522223944
2025-04-17 00:00:00+00:00,0.860298533174275
2025-04-17 00:00:00+00:00,0.860298533174275
2025-04-21 00:00:00+00:00,0.8866641750749152
2025-04-21 00:00:00+00:00,0.8866641750749152
2025-04-22 00:00:00+00:00,0.8556108709256619
2025-04-22 00:00:00+00:00,0.8556108709256619
2025-04-23 00:00:00+00:00,0.8189516468831393
2025-04-23 00:00:00+00:00,0.8189516468831393
2025-04-24 00:00:00+00:00,0.7920160869647147
2025-04-24 00:00:00+00:00,0.7920160869647147
2025-04-25 00:00:00+00:00,0.7816137649369004
2025-04-25 00:00:00+00:00,0.7816137649369004
2025-04-28 00:00:00+00:00,0.786948906512065
2025-04-28 00:00:00+00:00,0.786948906512065
2025-04-29 00:00:00+00:00,0.7882485988068071
2025-04-29 00:00:00+00:00,0.7882485988068071
2025-04-30 00:00:00+00:00,0.8007417911238943
2025-04-30 00:00:00+00:00,0.8007417911238943
2025-05-01 00:00:00+00:00,0.7756453448535273
2025-05-01 00:00:00+00:00,0.7756453448535273
2025-05-02 00:00:00+00:00,0.7765425211176621
2025-05-02 00:00:00+00:00,0.7765425211176621
2025-05-05 00:00:00+00:00,0.7913800901126249
2025-05-05 00:00:00+00:00,0.7913800901126249
2025-05-06 00:00:00+00:00,0.7970707714294973
2025-05-06 00:00:00+00:00,0.7970707714294973
2025-05-07 00:00:00+00:00,0.7811301645881302
2025-05-07 00:00:00+00:00,0.7811301645881302
2025-05-08 00:00:00+00:00,0.7671806931934242
2025-05-08 00:00:00+00:00,0.7671806931934242
2025-05-09 00:00:00+00:00,0.7632665230850686
2025-05-09 00:00:00+00:00,0.7632665230850686
2025-05-12 00:00:00+00:00,0.7016706773499157
2025-05-12 00:00:00+00:00,0.7016706773499157
2025-05-13 00:00:00+00:00,0.6924895138294573
2025-05-13 00:00:00+00:00,0.6924895138294573
2025-05-14 00:00:00+00:00,0.6961588372533545
2025-05-14 00:00:00+00:00,0.6961588372533545
2025-05-15 00:00:00+00:00,0.7129792328203077
2025-05-15 00:00:00+00:00,0.7126940411271796
2025-05-16 00:00:00+00:00,0.7141529785691206
2025-05-16 00:00:00+00:00,0.7141529785691206
